Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
with_index_500_insert,0,12886,36636,49522,96,49522,150,0,18.2500s,96,686.55,760.37,817.23,802.05,72995.56
with_index_500_select,126867,0,0,126867,42289,126867,0,0,18.0021s,42289,0.90,1.70,18.40,2.14,71946.37
with_index_5000_insert,0,15172,45083,60255,12,60255,19,0,21.1575s,12,6913.17,7052.13,7251.85,7215.39,84625.51
with_index_5000_select,31104,0,0,31104,10368,31104,0,0,18.0051s,10368,3.31,6.94,26.19,8.28,71995.73
without_index_500_insert,0,15781,44178,59959,116,59959,200,0,18.2859s,116,520.81,630.51,752.34,733.00,73138.62
without_index_500_select,91536,0,0,91536,30512,91536,0,0,18.0024s,30512,1.27,2.36,20.54,2.97,71964.83
without_index_5000_insert,0,15134,45087,60221,12,60221,19,0,20.2889s,12,6617.65,6762.61,6913.23,6960.17,81151.32
without_index_5000_select,15798,0,0,15798,5266,15798,0,0,18.0105s,5266,7.24,13.68,35.24,15.27,72019.44
