Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
int_queries_insert,0,22000,66016,88016,4,88016,0,0,25.5001s,4,25499.09,25499.18,25499.45,25448.93,101996.73
int_queries_select,2583,0,0,2583,2583,2583,0,0,18.0309s,2583,23.16,27.90,55.13,28.16,72076.38
varchar_queries_1_insert,0,22007,66014,88021,4,88021,1,0,27.3549s,4,27353.96,27354.03,27354.18,27349.55,109416.14
varchar_queries_1_select,1857,0,0,1857,1857,1857,0,0,18.0213s,1857,27.48,38.81,85.15,57.87,72062.80
varchar_queries_64_insert,0,22000,66016,88016,4,88016,0,0,26.6133s,4,26612.23,26612.34,26612.54,26382.13,106449.37
varchar_queries_64_select,1884,0,0,1884,1884,1884,0,0,18.0245s,1884,32.34,38.26,66.03,38.94,72084.04
