Script,Read (noq),Write (noq),Other (noq),Total (noq),Transactions (per s.),Queries (per s.),Ignored Errors (per s.),Reconnects (per s.),Total Time (s),Total Events,Latency Min (ms),Latency Avg (ms),Latency Max (ms),Latency 95th Percentile (ms),Latency Sum (ms)
char_length_10_insert,0,8001,5,8006,2,8006,0,0,10.8375s,2,5319.01,5418.47,5517.93,5507.54,10836.94
char_length_10_select,4146,0,0,4146,1382,4146,0,0,8.0031s,1382,5.59,5.79,13.37,5.88,8000.55
char_length_255_insert,0,8001,5,8006,2,8006,0,0,9.7105s,2,4307.19,4854.97,5402.76,5409.26,9709.95
char_length_255_select,3990,0,0,3990,1330,3990,0,0,8.0060s,1330,5.85,6.02,13.89,6.21,8003.47
int_length_10_insert,0,8001,5,8006,2,8006,0,0,11.9793s,2,5963.82,5989.39,6014.96,6026.41,11978.77
int_length_10_select,4320,0,0,4320,1440,4320,0,0,8.0044s,1440,5.35,5.56,13.36,5.67,8001.76
int_length_255_insert,0,8001,5,8006,2,8006,0,0,12.2008s,2,5798.79,6100.16,6401.53,6360.91,12200.32
int_length_255_select,4320,0,0,4320,1440,4320,0,0,8.0031s,1440,5.37,5.56,13.09,5.67,8000.53
varchar_length_10_insert,0,8001,5,8006,2,8006,0,0,15.4177s,2,7477.83,7708.56,7939.29,7895.16,15417.12
varchar_length_10_select,4155,0,0,4155,1385,4155,0,0,8.0017s,1385,5.56,5.78,13.30,5.99,7998.98
varchar_length_255_insert,0,8001,5,8006,2,8006,0,0,13.1684s,2,6063.73,6583.91,7104.09,7086.63,13167.81
varchar_length_255_select,4086,0,0,4086,1362,4086,0,0,8.0030s,1362,5.73,5.87,13.69,5.99,8000.39
