Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
with_index_500_insert,0,16746,47482,64228,124,64228,208,0,18.0245s,124,531.90,581.40,643.53,612.21,72094.00
with_index_500_select,126966,0,0,126966,42322,126966,0,0,18.0020s,42322,0.98,1.70,17.66,2.14,71948.05
with_index_5000_insert,0,20031,60042,80073,16,80073,12,0,22.6397s,16,5618.86,5659.68,5711.19,5709.50,90554.94
with_index_5000_select,30849,0,0,30849,10283,30849,0,0,18.0058s,10283,3.55,7.00,26.66,8.90,71996.18
without_index_500_insert,0,17717,49115,66832,128,66832,233,0,18.0761s,128,521.20,564.84,600.69,601.29,72300.04
without_index_500_select,89274,0,0,89274,29758,89274,0,0,18.0021s,29758,1.35,2.42,21.10,3.13,71965.30
without_index_5000_insert,0,20163,60171,80334,16,80334,25,0,22.3805s,16,5389.45,5594.78,5781.53,5813.24,89516.54
without_index_5000_select,15687,0,0,15687,5229,15687,0,0,18.0070s,5229,7.35,13.77,43.19,16.12,72003.23
