Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
int_queries_insert,0,22000,66016,88016,4,88016,0,0,22.2883s,4,22287.33,22287.35,22287.36,22435.13,89149.42
int_queries_select,1466,0,0,1466,1466,1466,0,0,18.0324s,1466,32.58,49.17,81.62,51.94,72090.09
