Script,Read (noq),Write (noq),Other (noq),Total (noq),Transactions (per s.),Queries (per s.),Ignored Errors (per s.),Reconnects (per s.),Total Time (s),Total Events,Latency Min (ms),Latency Avg (ms),Latency Max (ms),Latency 95th Percentile (ms),Latency Sum (ms)
default_null_count_null_2,40314.00,12002.00,7.00,52323.00,40317.00,52323.00,0.00,0.00,12.3234s8.0008s,40317.00,3787.98,4107.78,4406.30,4437.49,20279.60
default_null_count_query_2,5099.00,12002.00,7.00,17108.00,5102.00,17108.00,0.00,0.00,12.3234s8.0022s,5102.00,3789.33,4109.15,4407.76,4438.88,20318.11
default_null_count_null_25,40527.00,8001.00,5.00,48533.00,40529.00,48533.00,0.00,0.00,8.3729s8.0008s,40529.00,3869.99,4186.29,4510.10,4518.12,16330.51
default_null_count_query_25,6437.00,8001.00,5.00,14443.00,6439.00,14443.00,0.00,0.00,8.3729s8.0009s,6439.00,3871.03,4187.33,4511.32,4519.17,16364.90
not_null_count_null,40532.00,8001.00,5.00,48538.00,40534.00,48538.00,0.00,0.00,9.3180s8.0009s,40534.00,4402.19,4658.89,4923.24,4943.75,17272.56
not_null_count_query,6678.00,8001.00,5.00,14684.00,6680.00,14684.00,0.00,0.00,9.3180s8.0013s,6680.00,4403.18,4659.89,4924.17,4944.76,17310.17
