Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
with_index_length_10,36540.00,7952.00,1447.00,45939.00,12903.00,45939.00,0.00,0.00,8.0079s8.0007s,12903.00,8.95,11.73,49.84,14.19,15992.92
with_index_length_40,35919.00,7871.00,385.00,44175.00,12165.00,44175.00,0.00,0.00,8.0232s8.0007s,12165.00,33.54,42.45,64.49,49.08,16009.83
without_index_length_10,37392.00,7996.00,1455.00,46843.00,13191.00,46843.00,0.00,0.00,8.0041s8.0009s,13191.00,8.78,11.65,36.33,13.94,15990.00
without_index_length_40,35019.00,7871.00,385.00,43275.00,11865.00,43275.00,0.00,0.00,8.0473s8.0007s,11865.00,32.88,42.59,84.30,48.22,16034.26
