Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
query_differences_insert,0,20306,60055,80361,16,80361,33,0,20.2998s,16,4312.62,5074.69,5416.85,5409.26,81195.01
query_differences_select_column_prefix,24940,0,0,24940,24940,24940,0,0,18.0030s,24940,1.30,2.89,23.06,3.68,71971.00
query_differences_select_combined_match_with_range,150143,0,0,150143,150143,150143,0,0,18.0014s,150143,0.26,0.48,17.58,0.65,71825.20
query_differences_select_exact_with_prefix,101916,0,0,101916,101916,101916,0,0,18.0011s,101916,0.38,0.71,20.60,0.95,71865.24
query_differences_select_full_match,191108,0,0,191108,191108,191108,0,0,18.0015s,191108,0.21,0.38,17.73,0.53,71785.29
query_differences_select_leftmost_prefix,45802,0,0,45802,45802,45802,0,0,18.0020s,45802,0.73,1.57,19.26,2.14,71941.96
query_differences_select_not_leftmost,8418,0,0,8418,8418,8418,0,0,18.0054s,8418,3.51,8.55,26.81,11.65,71993.80
query_differences_select_range_values,10313,0,0,10313,10313,10313,0,0,18.0075s,10313,3.18,6.98,29.48,8.90,72002.30
query_differences_select_range_with_like,119264,0,0,119264,119264,119264,0,0,18.0018s,119264,0.32,0.60,17.98,0.83,71848.13
query_differences_select_skip_columns,57800,0,0,57800,57800,57800,0,0,18.0017s,57800,0.58,1.24,20.72,1.67,71921.57
