Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
char_10_insert,0,5889,1179,7068,589,7068,0,0,8.0142s,589,8.63,13.60,26.52,19.29,8012.70
char_10_select,37551,0,0,37551,12517,37551,0,0,8.0010s,12517,0.57,0.64,8.13,0.72,7987.92
char_255_insert,0,5609,45,5654,22,5654,0,0,8.2212s,22,286.49,373.67,476.60,419.45,8220.64
char_255_select,23451,0,0,23451,7817,23451,0,0,8.0013s,7817,0.94,1.02,8.68,1.10,7992.87
int_10_insert,0,5579,1117,6696,558,6696,0,0,8.0168s,558,8.15,14.36,26.16,20.00,8015.36
int_10_select,38082,0,0,38082,12694,38082,0,0,8.0007s,12694,0.57,0.63,8.17,0.70,7987.15
int_255_insert,0,5354,43,5397,21,5397,0,0,8.1273s,21,326.69,386.98,464.13,450.77,8126.64
int_255_select,24081,0,0,24081,8027,24081,0,0,8.0014s,8027,0.91,1.00,8.40,1.06,7992.35
