Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
char_length_10_insert,0,12002,7,12009,3,12009,0,0,11.8514s,3,3916.55,3950.26,3987.66,3982.86,11850.79
char_length_10_select,4194,0,0,4194,1398,4194,0,0,8.0025s,1398,5.53,5.72,13.59,5.88,8000.01
char_length_255_insert,0,8001,5,8006,2,8006,0,0,8.7539s,2,4352.27,4376.70,4401.13,4437.27,8753.40
char_length_255_select,3999,0,0,3999,1333,3999,0,0,8.0011s,1333,5.81,6.00,14.25,6.09,7998.70
int_length_10_insert,0,8001,5,8006,2,8006,0,0,8.2870s,2,4064.09,4143.23,4222.38,4203.93,8286.47
int_length_10_select,4326,0,0,4326,1442,4326,0,0,8.0011s,1442,5.36,5.55,13.37,5.67,7998.66
int_length_255_insert,0,8001,5,8006,2,8006,0,0,8.0462s,2,4015.72,4022.82,4029.92,4055.23,8045.64
int_length_255_select,4272,0,0,4272,1424,4272,0,0,8.0029s,1424,5.44,5.62,13.97,5.77,8000.27
varchar_length_10_insert,0,12002,7,12009,3,12009,0,0,12.0765s,3,3968.38,4025.30,4079.39,4055.23,12075.90
varchar_length_10_select,4182,0,0,4182,1394,4182,0,0,8.0052s,1394,5.56,5.74,13.46,5.88,8002.67
varchar_length_255_insert,0,8001,5,8006,2,8006,0,0,8.9096s,2,4182.09,4454.52,4726.94,4768.67,8909.04
varchar_length_255_select,4128,0,0,4128,1376,4128,0,0,8.0049s,1376,5.63,5.82,13.76,5.99,8002.32
