Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
column_prefix,6794.00,12002.00,7.00,18803.00,6797.00,18803.00,0.00,0.00,11.0486s,6797.00,3667.93,3683.86,3704.60,3707.33,19041.10
combined_match_with_range,29235.00,12002.00,7.00,41244.00,29238.00,41244.00,0.00,0.00,11.0486s,29238.00,3667.15,3682.95,3702.94,3706.38,19021.09
exact_with_prefix,21177.00,12002.00,7.00,33186.00,21180.00,33186.00,0.00,0.00,11.0486s,21180.00,3667.25,3683.06,3703.08,3706.49,19026.98
full_match,33306.00,12002.00,7.00,45315.00,33309.00,45315.00,0.00,0.00,11.0486s,33309.00,3667.12,3682.92,3702.66,3706.35,19016.43
leftmost_prefix,12348.00,12002.00,7.00,24357.00,12351.00,24357.00,0.00,0.00,11.0486s,12351.00,3667.49,3683.33,3703.08,3706.77,19036.20
not_leftmost,2561.00,12002.00,7.00,14570.00,2564.00,14570.00,0.00,0.00,11.0486s,2564.00,3669.45,3685.80,3705.92,3709.44,19046.10
range_values,2998.00,12002.00,7.00,15007.00,3001.00,15007.00,0.00,0.00,11.0486s,3001.00,3669.25,3685.35,3705.68,3708.89,19045.53
range_with_like,24384.00,12002.00,7.00,36393.00,24387.00,36393.00,0.00,0.00,11.0486s,24387.00,3667.20,3683.01,3702.95,3706.44,19025.28
skip_columns,14582.00,12002.00,7.00,26591.00,14585.00,26591.00,0.00,0.00,11.0486s,14585.00,3667.42,3683.23,3702.91,3706.66,19034.43
