Script,Read (noq),Write (noq),Other (noq),Total (noq),Transactions (per s.),Queries (per s.),Ignored Errors (per s.),Reconnects (per s.),Total Time (s),Total Events,Latency Min (ms),Latency Avg (ms),Latency Max (ms),Latency 95th Percentile (ms),Latency Sum (ms)
with_index_length_10_insert,0,7622,1387,9009,693,9009,0,0,8.0078s,693,8.82,11.55,48.22,15.00,8005.61
with_index_length_10_select,36270,0,0,36270,12090,36270,0,0,8.0010s,12090,0.57,0.66,8.22,0.74,7987.93
with_index_length_40_insert,0,7420,363,7783,181,7783,0,0,8.0332s,181,34.67,44.38,103.45,52.89,8031.90
with_index_length_40_select,34872,0,0,34872,11624,34872,0,0,8.0011s,11624,0.61,0.69,8.49,0.77,7988.48
without_index_length_10_insert,0,7457,1357,8814,678,8814,0,0,8.0063s,678,8.29,11.81,20.50,14.46,8004.39
without_index_length_10_select,37221,0,0,37221,12407,37221,0,0,8.0007s,12407,0.56,0.64,8.52,0.72,7987.57
without_index_length_40_insert,0,7502,367,7869,183,7869,0,0,8.0397s,183,34.99,43.93,94.49,51.02,8038.41
without_index_length_40_select,34938,0,0,34938,11646,34938,0,0,8.0008s,11646,0.61,0.69,8.34,0.75,7988.52
