Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
char_length_10_insert,0,8001,5,8006,2,8006,0,0,8.4529s,2,4185.62,4226.19,4266.75,4280.32,8452.37
char_length_10_select,4113,0,0,4113,1371,4113,0,0,8.0023s,1371,5.67,5.83,13.51,5.99,7999.70
char_length_255_insert,0,8001,5,8006,2,8006,0,0,9.2725s,2,4571.16,4636.00,4700.84,4683.57,9272.00
char_length_255_select,3975,0,0,3975,1325,3975,0,0,8.0025s,1325,5.83,6.04,13.72,6.21,8000.07
int_length_10_insert,0,8001,5,8006,2,8006,0,0,8.0869s,2,3946.93,4043.17,4139.41,4128.91,8086.34
int_length_10_select,4308,0,0,4308,1436,4308,0,0,8.0023s,1436,5.43,5.57,13.67,5.67,7999.77
int_length_255_insert,0,8001,5,8006,2,8006,0,0,8.0909s,2,4040.03,4045.15,4050.27,4055.23,8090.30
int_length_255_select,4284,0,0,4284,1428,4284,0,0,8.0022s,1428,5.41,5.60,13.43,5.77,7999.57
varchar_length_10_insert,0,8001,5,8006,2,8006,0,0,8.4982s,2,4135.36,4248.85,4362.35,4358.09,8497.70
varchar_length_10_select,4146,0,0,4146,1382,4146,0,0,8.0056s,1382,5.66,5.79,13.52,5.88,8003.12
varchar_length_255_insert,0,8001,5,8006,2,8006,0,0,8.3907s,2,4174.65,4195.08,4215.50,4203.93,8390.15
varchar_length_255_select,4092,0,0,4092,1364,4092,0,0,8.0045s,1364,5.66,5.87,13.58,5.99,8002.04
