Script,Read (noq),Write (noq),Other (noq),Total (noq),Transactions (per s.),Queries (per s.),Ignored Errors (per s.),Reconnects (per s.),Total Time (s),Total Events,Latency Min (ms),Latency Avg (ms),Latency Max (ms),Latency 95th Percentile (ms),Latency Sum (ms)
int_queries,3634.00,8404.00,8.00,12046.00,3637.00,12046.00,0.00,0.00,9.8287s8.0008s,3637.00,3075.13,3278.24,3472.28,3450.79,17824.53
varchar_queries_length_1,3199.00,8404.00,8.00,11611.00,3202.00,11611.00,0.00,0.00,8.9678s8.0022s,3202.00,2774.78,2991.56,3141.21,3154.14,16965.29
varchar_queries_length_64,2491.00,8404.00,8.00,10903.00,2494.00,10903.00,0.00,0.00,9.7546s8.0036s,2494.00,3192.25,3254.57,3371.62,3390.24,17754.15
