Script,Read (noq),Write (noq),Other (noq),Total (noq),Transactions (per s.),Queries (per s.),Ignored Errors (per s.),Reconnects (per s.),Total Time (s),Total Events,Latency Min (ms),Latency Avg (ms),Latency Max (ms),Latency 95th Percentile (ms),Latency Sum (ms)
char_length_10_insert,0,48440,144244,192684,48,192684,54,0,60.6342s,48,4773.46,5052.77,5290.40,5312.73,242532.93
char_length_10_select,62772,0,0,62772,20924,62772,0,0,60.0090s,20924,6.48,11.47,37.72,12.52,239989.04
char_length_255_insert,0,52455,156309,208764,52,208764,58,0,63.0407s,52,4401.95,4849.21,5165.39,5124.81,252158.81
char_length_255_select,59739,0,0,59739,19913,59739,0,0,60.0088s,19913,7.05,12.05,44.99,13.22,239984.13
int_length_10_insert,0,52700,156543,209243,52,209243,93,0,61.4959s,52,3914.05,4730.37,4975.79,4943.53,245979.39
int_length_10_select,64878,0,0,64878,21626,64878,0,0,60.0094s,21626,5.52,11.10,34.67,12.30,239982.73
int_length_255_insert,0,52920,156590,209510,52,209510,111,0,61.9211s,52,3942.09,4763.08,5032.60,5033.35,247680.26
int_length_255_select,64695,0,0,64695,21565,64695,0,0,60.0087s,21565,6.58,11.13,35.65,12.30,239985.07
varchar_length_10_insert,0,52500,156314,208814,52,208814,58,0,61.9450s,52,4541.21,4764.91,5000.64,5033.35,247775.22
varchar_length_10_select,63030,0,0,63030,21010,63030,0,0,60.0089s,21010,5.95,11.42,34.06,12.52,239979.52
varchar_length_255_insert,0,52791,156474,209265,52,209265,76,0,64.0555s,52,4741.69,4927.26,5106.68,5124.81,256217.53
varchar_length_255_select,62769,0,0,62769,20923,62769,0,0,60.0078s,20923,6.23,11.47,31.63,12.52,239985.05
