Script,Read (noq),Write (noq),Other (noq),Total (noq),Transactions (per s.),Queries (per s.),Ignored Errors (per s.),Reconnects (per s.),Total Time (s),Total Events,Latency Min (ms),Latency Avg (ms),Latency Max (ms),Latency 95th Percentile (ms),Latency Sum (ms)
column_prefix,94460.00,52910.00,156177.00,303547.00,94512.00,303547.00,101.00,0.00,60.9714s60.0030s,94512.00,4378.60,4692.57,4923.61,4946.83,483739.88
combined_match_with_range,493100.00,52910.00,156177.00,702187.00,493152.00,702187.00,101.00,0.00,60.9714s60.0011s,493152.00,4377.71,4690.52,4921.69,4944.20,483278.17
exact_with_prefix,354718.00,52910.00,156177.00,563805.00,354770.00,563805.00,101.00,0.00,60.9714s60.0013s,354770.00,4377.81,4690.71,4922.53,4944.45,483419.82
full_match,623800.00,52910.00,156177.00,832887.00,623852.00,832887.00,101.00,0.00,60.9714s60.0010s,623852.00,4377.66,4690.41,4920.66,4944.07,483168.64
leftmost_prefix,176775.00,52910.00,156177.00,385862.00,176827.00,385862.00,101.00,0.00,60.9714s60.0022s,176827.00,4378.11,4691.39,4923.06,4945.32,483630.44
not_leftmost,34466.00,52910.00,156177.00,243553.00,34518.00,243553.00,101.00,0.00,60.9714s60.0050s,34518.00,4380.38,4696.99,4931.29,4953.09,483820.67
range_values,42840.00,52910.00,156177.00,251927.00,42892.00,251927.00,101.00,0.00,60.9714s60.0055s,42892.00,4379.91,4695.63,4925.85,4950.70,483815.69
range_with_like,409755.00,52910.00,156177.00,618842.00,409807.00,618842.00,101.00,0.00,60.9714s60.0012s,409807.00,4377.77,4690.61,4920.52,4944.33,483363.00
skip_columns,226382.00,52910.00,156177.00,435469.00,226434.00,435469.00,101.00,0.00,60.9714s60.0017s,226434.00,4377.98,4691.09,4921.98,4944.97,483583.54
