Script,Read,Write,Other,Total,Transactions,Queries,Ignored Errors,Reconnects,Total Time,Total Events,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
with_index_10_insert,0,15986,28734,44720,2915,44720,2227,0,18.0022s,2915,7.85,24.70,100.49,46.63,71995.84
with_index_10_select,208905,0,0,208905,69635,208905,0,0,18.0018s,69635,0.67,1.03,19.16,1.37,71914.17
with_index_50_insert,0,14252,30491,44743,713,44743,891,0,18.0205s,713,41.51,101.09,365.89,150.29,72074.06
with_index_50_select,193386,0,0,193386,64462,193386,0,0,18.0014s,64462,0.70,1.12,17.77,1.50,71919.33
without_index_10_insert,0,16107,29688,45795,2986,45795,2297,0,18.0012s,2986,5.88,24.11,91.83,44.17,71992.46
without_index_10_select,215565,0,0,215565,71855,215565,0,0,18.0017s,71855,0.65,1.00,18.84,1.30,71912.01
without_index_50_insert,0,15319,32262,47581,758,47581,903,0,18.0552s,758,32.64,95.23,313.47,144.97,72183.64
without_index_50_select,184335,0,0,184335,61445,184335,0,0,18.0017s,61445,0.71,1.17,19.46,1.52,71921.70
