Script,Read (noq),Write (noq),Other (noq),Total (noq),Transactions (per s.),Queries (per s.),Ignored Errors (per s.),Reconnects (per s.),Total Time (s),Total Events,Latency Min (ms),Latency Avg (ms),Latency Max (ms),Latency 95th Percentile (ms),Latency Sum (ms)
column_prefix,5234.00,8001.00,5.00,13240.00,5236.00,13240.00,0.00,0.00,10.9497s8.0011s,5236.00,5059.25,5476.05,5901.04,5920.90,18941.51
combined_match_with_range,24472.00,8001.00,5.00,32478.00,24474.00,32478.00,0.00,0.00,10.9497s8.0007s,24474.00,5058.18,5474.85,5903.00,5919.23,18920.58
exact_with_prefix,19571.00,8001.00,5.00,27577.00,19573.00,27577.00,0.00,0.00,10.9497s8.0011s,19573.00,5058.26,5474.93,5899.29,5919.31,18927.17
full_match,28789.00,8001.00,5.00,36795.00,28791.00,36795.00,0.00,0.00,10.9497s8.0008s,28791.00,5058.13,5474.80,5899.19,5919.17,18917.16
leftmost_prefix,10490.00,8001.00,5.00,18496.00,10492.00,18496.00,0.00,0.00,10.9497s8.0009s,10492.00,5058.58,5475.28,5899.58,5919.67,18934.84
not_leftmost,1941.00,8001.00,5.00,9947.00,1943.00,9947.00,0.00,0.00,10.9497s8.0032s,1943.00,5061.72,5478.64,5902.95,5923.12,18947.98
range_values,2446.00,8001.00,5.00,10452.00,2448.00,10452.00,0.00,0.00,10.9497s8.0031s,2448.00,5061.00,5477.79,5902.36,5922.23,18947.77
range_with_like,21380.00,8001.00,5.00,29386.00,21382.00,29386.00,0.00,0.00,10.9497s8.0008s,21382.00,5058.23,5474.89,5899.28,5919.27,18925.44
skip_columns,14256.00,8001.00,5.00,22262.00,14258.00,22262.00,0.00,0.00,10.9497s8.0012s,14258.00,5058.42,5475.08,5899.57,5919.47,18933.33
